行號,原文,原文長度,重點整理,處理時間,原始_20到50字的簡述(chatgpt-5),原始_全段主題,原始_總主題,原始_Unnamed: 4
11,曾柏瑜：我覺得要釐清一下，因為這邊講這個研究助理就是撰寫IRM的人，因為在國際上面IRM是由OGP的大會來派發的，也不是派發，就是他們會聘請一個人來確保這整個程序是符合OGP的標準，那因為我們不是OGP的會員，所以才變成我們必須聘一個獨立的IRM。這個人並不負責任何庶務性的工作，他並不是助理，他就是來觀察大家開會的狀況，並紀錄這一切是不是符合這個程序。那他寫出來報告裡面當然包含我們如何執行、我們如何討論、立法院內部各黨團之間的狀況是怎麼樣，以及民間委員態度是如何，類似這樣子的東西。比較不會有機會作出很強烈批判，畢竟他是兩邊共同聘請的，可是他也是有機會作出這樣批判的狀況，因為過去在國際上IRM，其他國家在做OGP的方案，action plan的cycle裡面也的確出現IRM的撰寫人給予非常嚴厲地批評的狀況。所以我想先澄清一下，我同意剛剛幾位的發言，我覺得庶務性工作是不是一樣是由立法院來支應，但是IRM這個聘請的人，聘請的經費要由這個民主基金會執行這件事情，我的確也同意彭教授的說法，因為畢竟民主基金會董事長也是院長的這件事情，我的確我還不是很確定我要怎麼想，就是它到底算是民間的基金會嗎？這樣子。,503,"## 會議記錄整理

### 出現人物  
- 曾柏瑜 - 研究助理聘請議題說明者 - 主張釐清IRM的性質與聘請經費來源，強調IRM非庶務性角色，僅負責程序觀察與報告撰寫，並提出對民主基金會是否屬民間機構的疑問  
- 彭教授 - 經費來源與民間性質議題參與者 - 支持由民主基金會承擔IRM聘請經費，但其董事長為院長一事引發對基金會民間性質的質疑  

### 核心要點  
1. IRM並非傳統研究助理，而是獨立觀察員，負責記錄會議程序是否符合OGP標準，報告內容包含議程執行、黨團互動與民間委員態度，具備批判性但受雙方共同聘請制衡  
2. IRM聘請經費應由民主基金會負擔，但其董事長為院長一事引發關於該基金會是否真正具備「民間性質」的爭議，需進一步釐清  

### 決策事項  
- 本段無明確決策內容  

### 行動項目  
- 需進一步釐清民主基金會的民間性質，特別是其董事長為院長一事對其獨立性與中立性之影響  

### 總結  
會議聚焦於釐清IRM的獨立觀察角色與聘請經費來源，並對民主基金會的民間性質提出疑問，強調程序透明與中立性的重要性。",2025-09-21 00:10:28,曾柏瑜澄清IRM聘任人員角色，強調其獨立性與監督性，不負責庶務；建議庶務費用由立法院支應，IRM聘任則由民主基金會支持，但對其是否真正屬於民間仍存疑。,,,
12,"侯宜秀：關於這些花費的事情，我們是不是先共筆一個預算表，這個應該是比較基礎的事，所以是不是這個禮拜就提一個預算表出來。因為公私協力的基礎架構就是每個人都有不同的分工，每個委員或是每個單位就自己的分工來看實際上有沒有需要，除了貢獻人力之外，還有哪些需要花錢的部分，大家想一下，然後把它寫進來。我覺得盤點之後會比較知道我們到底缺什麼資源，就算我們去申請一個計畫，這個公私協力的計畫大部分還是立法院在支持，包括從籌備到現在，舉凡場地、人力以及工作人員，其實立法院已經花了很多錢，只是看不到而已。我覺得後面實際上還需要再花費的，比如聘請外面的委員或聘一個獨立觀察者，我覺得這些事情就是要盤點出來，包括幾個人、月，要細到這個程度，我們才有辦法去估算缺多少錢，然後需要到哪裡找錢。
主席（林委員昶佐）：我稍微歸納一下，平常我們開會需要的這些費用，我覺得這一塊跟IRM需要的費用，可能還是要把它分開。那IRM的部分，我想就像剛才講的，我們現在是希望11月底以後就開始撰寫，所以這個研究員想必在那之前就要進來，只是客觀的狀態是它完全是為了研究這個東西所申請的經費，還是怎麼樣，原則上還是要請民間委員這邊確認一下。",498,"## 會議記錄整理

### 出現人物  
- 侯宜秀 - 提案人 / 委員 - 主張先共筆預算表，強調需詳細盤點公私協力中各單位的實際花費需求，特別提到聘請外部委員或獨立觀察者等項目，認為唯有明確列出人力與經費才可估算資源缺口與申請資金  
- 林昶佐（主席） - 會議主持人 / 委員 - 归納會議重點，提出應區分日常開會費用與IRM（研究機構）相關經費，並強調IRM經費屬研究性質，需由民間委員確認其申請依據與必要性  

### 核心要點  
1. 需立即建立詳細預算表，釐清各單位在公私協力架構下實際所需之人力與經費（如聘請外部委員、獨立觀察者等），以作為後續申請計畫與資源配置的基礎  
2. 預算中應區分日常運作費用與IRM研究相關經費，並由民間委員確認IRM經費的申請合理性與研究必要性  

### 決策事項  
- 會議決議於本週內提出初步預算表草案，內容需涵蓋各單位實際人力與經費需求，特別包括外部聘任項目  

### 行動項目  
- 侯宜秀負責主導預算表的草擬工作，並於本週內提交初稿  
- 民間委員需於IRM研究員進駐前，確認其經費申請的合理性與研究必要性  

### 總結  
會議決議建立詳細預算表以明確公私協力中的資源需求，並區分日常開支與研究經費，為後續計畫申請提供基礎依據。",2025-09-21 00:10:48,侯宜秀建議先共筆詳細預算表，盤點人力與費用需求，再決定資金來源；林昶佐總結會議費用與IRM費用應分開處理，IRM研究員需於11月底前進駐，經費來源待民間確認。,,,
13,我記得當初公督盟有承接這件事情後續的一些規劃，可能跟大家consult以後確認，如果要申請哪一些費用等等的，大家可以互相協助，包括像民主基金會等等，我們應該可以一起來協助這些申請的工作，但可能時間上要抓一下。另外，就是平常開會的部分，我覺得平常召開會議需要的庶務費用，我們工作小組真的要來列一下預算。今年的話，我跟洪顧問會去找一些目前現有的，像洪顧問會去找秘書長，以目前有的部分來支應，包括手譯、翻譯等費用，這些平常開會需要的一些費用支出。但明年開始之後，可能就要進入剛才說的公私協力規劃，可能有一半再用什麼樣的計畫去申請，可能就不太適合跟IRM包在一起。我剛才這樣聽下來，我覺得放在一起反而會有點混亂，它到底算不算在同一個會議的計畫裡面，這會有一點複雜，所以可能還是切開，然後平常開會所需要的費用，我們把它列下來以後，我覺得就抓一個禮拜，我們工作小組來編一下預算表，然後這一個禮拜列出來以後，可能就丟到所有委員的Slack頻道上面來確定，大家看有沒有漏掉什麼。民主基金會明年的計畫好像是9月底之前要丟出去，原則上這就是工作小組的事，給大家看了以後，沒有問題的話，我們就來分，那些是一人一半，還是平常立法院就已經支出一些費用了,513,"## 會議記錄整理

### 出現人物  
- 我 - 主導發言者，提出會議庶務預算規劃與公私協力分工建議  
- 洪顧問 - 負責協調秘書長，協助取得現有開會費用（如手譯、翻譯）支應  
- 公督盟團隊 - 承接後續規劃，參與費用申請與工作小組協作  
- 民主基金會 - 提出明年計畫時程（9月底前提交），參與費用分攤討論  
- 工作小組成員 - 負責預算編列、內部確認與委員意見徵詢  

### 核心要點  
1. 常規會議庶務費用應獨立列支，明年起需與公私協力計畫分開，避免計畫混雜與管理混亂  
2. 工作小組需於一個禮拜內編製開會費用預算表，並上傳至委員Slack頻道公開徵詢意見，確認完整性後決定分攤方式  

### 決策事項  
- 常規開會庶務費用（如手譯、翻譯）將於今年由現有資源支應，明年起將獨立於IRM計畫申請，需另設公私協力專案  

### 行動項目  
- 工作小組於一個禮拜內編製開會費用預算表，並上傳至委員Slack頻道供確認  
- 確認預算內容後，決定費用分攤方式（如一人一半，或立法院已支出部分）  

### 總結  
會議決議將常規會議庶務費用與公私協力計畫分開管理，並由工作小組在一周內完成預算編列與公開徵詢。",2025-09-21 00:11:08,林昶佐建議庶務費用與IRM經費切開處理；今年由秘書處支應，明年依公私協力規劃，工作小組一週內編列預算表並於Slack確認，9月底前送出申請案。,,,
14,"所以衍生的一些會議費用，民間就多分一些，我們到時候再來討論。但原則上我想這些費用可能不會像IRM的費用那麼多才對，所以我們就一個禮拜之內確定預算表，然後原則上9月底前工作小組就把這個計畫寫一寫，但是如果我們決定一人一半的話，另外那一半就是民間的委員要想看看怎麼申請。
主席（洪顧問慈庸）：應該是說IRM如果要對外申請，那就一定是民間來主導，就不會是工作小組，這必須要講得很清楚。
主席（林委員昶佐）：我再講清楚，就是IRM部分，因為我們之前的分工確定下來是公督盟會去負責這件事，還有誰？那時候好像有三個委員還是兩個委員負責這件事，我現在只看到君陽一個人一直點頭，然後其他的所有的民間委員沒有任何的……，我懶得去翻會議紀錄了，大家還記得嗎？有阿端，好，總之我記得是三個民間委員，對不對？就是去規劃後續IRM的事情，因為我們也不是OGP的會員國，所以有三位民間委員當初認領這件事情，這個部分就要確定，包括明年編列的這些預算會是由民間委員來負責，講的就是我們日常開會的這些庶務事情的規劃和預算的規劃。
曾柏瑜：關於IRM的經費由民間全部負責這件事情，我想釐清一下，我們當時之所以提議IRM的經費由政府，就是立院出一半，民間出一半的原因",514,"## 會議記錄整理

### 出現人物  
- 洪顧問慈庸 - 主席 - 強調IRM對外申請必須由民間主導，並要求明確說明，以避免誤會  
- 林委員昶佐 - 主席 - 提醒IRM規劃原由三位民間委員承擔，現僅君陽一人參與，呼籲重視民間委員的參與與責任，並強調未來預算由民間負責  
- 曾柏瑜 - 委員 - 討論IRM經費分擔原意，質疑「政府與民間各出一半」的提議是否符合初衷，呼籲釐清經費責任歸屬  

### 核心要點  
1. IRM對外申請須由民間主導，且日常庶務與預算規劃應由民間委員負責，特別強調需明確確認參與委員人數與責任分工  
2. 原本提議的「政府與民間各出一半」經費分擔方案需釐清，因民間委員先前已承擔規劃責任，現行安排可能導致責任落空與參與不均  

### 決策事項  
- 無明確決策內容（僅提出討論與釐清需求）  

### 行動項目  
- 由民間委員確認並明確承擔IRM的規劃與預算責任，包括釐清實際參與的民間委員人數（至少三人）  
- 針對IRM經費分擔方案進行討論與釐清，確認是否應由民間全數負擔，或維持「政府與民間各半」之提議  

### 總結  
會議強調IRM應由民間主導規劃與經費承擔，並需釐清民間委員的實際參與與責任，以確保透明與公平。",2025-09-21 00:11:29,會議決議庶務費用由工作小組編列預算，IRM經費則由民間主導申請；但曾柏瑜重申，原本規劃是立院與民間各自分攤一半，以確保公平與合理性。,,,
15,"是因為經費如果由民間全部出的話，那就跟影子報告沒有任何的差別。對，影子報告，因為在其他國家是OGP派一個IRM來做這個，民間也會找比如說第三方的民間團體來做一個，所以他會有一個是OGP派來的，跟當地的民間團體自己出的。如果今天我們臺灣因為不是OGP會員國，因此這個IRM的報告就由民間全部自己出，那就跟所謂的影子報告沒有區別了，所以當時我們才會說為了要作出跟影子報告的區別，這個所謂的IRM是不是應該立院出一半，民間出一半，來弄一個新的制度，當時是因為這個原因。
吳銘軒：我再補充一下，那個時候還有說，如果國發會那邊通過的話，乾脆就包在一起做，就是三三四。
主席（洪顧問慈庸）：因為現在國發會的進度……
吳銘軒：三三四的意思就是30%，其實也不是三三四，就是比方說33%、33%和34%，然後民間多出1%。理想上是啊！就是不是民間團體自己去寫，政府當然要寫自己的，那是避不了的，但是民間團體這邊不用寫，但是我們一起籌一筆錢，然後找一個研究單位。不過如果時間很趕的話，可能君陽要先去問問看有興趣的老師。
主席（林委員昶佐）：這樣民主基金會的補助到底算官方補助還是民間？
吳銘軒：這個大家可以討論一下，對不起我要提醒一下，民主基金會應該是一個民間組織一年只能申請一次",531,"## 會議記錄整理

### 出現人物  
- 吳銘軒 - 提案推動者 / 負責制度設計 - 主張設立「政府與民間各出一半經費」的IRM報告新制度，並說明「三三四」分攤比例（33%、33%、34%）與民間多出1%的設計，強調此為與影子報告區隔的關鍵；補充民主基金會補助性質的討論  
- 洪顧問慈庸 - 主席 - 提出對國發會進度的關注，引導會議聚焦於制度可行性與執行時程  
- 林委員昶佐 - 主席 - 質疑民主基金會補助屬於官方還是民間補助，推動對補助性質的討論  

### 核心要點  
1. 為區別於影子報告，應建立「政府與民間共同出資」的IRM報告制度，建議採「三三四」比例（33%、33%、34%）分攤經費，民間多出1%，以確保報告具有政府與民間雙軌參與的獨特性  
2. 民主基金會的補助性質需釐清，應討論其屬於官方補助或民間補助，並強調其一年僅能申請一次，以避免混淆與資源重複  

### 決策事項  
- 本段無明確決策內容  

### 行動項目  
- 吳銘軒需進一步確認時間壓力下，君陽是否可先聯絡有興趣的研究單位參與報告執行  
- 會議成員需針對「民主基金會補助」的性質（官方或民間）進行討論與釐清  

### 總結  
為區別於影子報告，會議提出應建立政府與民間共同出資的IRM報告新制度，並釐清民主基金會補助的性質與執行單位。",2025-09-21 00:11:51,曾柏瑜強調若全由民間負擔，IRM將淪為影子報告，故應立院與民間各半；吳銘軒補充曾討論「三三四」分攤模式，並提醒民主基金會屬民間資源且一年僅能申請一次。,「會議決議：庶務專表9月底前完成，IRM經費待與唐鳳會談後確定」,,
16,"所以如果是公督盟要的話，其實就會吃掉公督盟自己的quota。
主席（洪顧問慈庸）：我先講一下，我意識到剛剛君陽講的是立法院要自己做一份，所以立法院必須派自己的人力去做，所以等於說現在在國發會那邊還沒有一個方向的時候，我們要自己做自己的事情，就是立法院這邊自己編列一個人力去做立法院的，民間這邊你們編列一個人力做民間的，現在只能這樣子，因為我們目前不知道國發會什麼時候才要做。我們現在應該要有兩個方案，一個是他們不進來的時候我們要怎麼走？一個是他們進來的時候我們要怎麼走？
吳銘軒：剛剛阿Fi解釋的意思就是說，這個分別其實不是在於國發會要不要進來，而是在於我們怎麼想像這個報告，如果是一個民間意見為主的報告，那就是民間另外開一個會，不用在這裡，我們就另外討論我們要怎麼處理這個事情，就把它結束了；但如果我們覺得它應該是一個獨立的審查，既不是偏民間的意見，也不是偏政府意見的話，才會有剛剛說的各出一半的問題，如果國發會要加進來的話，那就各出三分之一，大概是這樣的意思。佩蔚，理解嗎??
黃佩蔚：我有理解，但是我只想要提兩個問題，這可能要實際在討論的時候才會知道的，就是剛才我們講的很多單位可以進行申請經費",500,"## 會議記錄整理

### 出現人物  
- 洪顧問慈庸（主席） - 立法院代表 - 主導提出立法院需自行編列人力，並強調在國發會未定方向前應先規劃兩種情境（國發會不進來、進來）的應對方案  
- 吳銘軒 - 建議提出報告性質的區分，說明報告若為民間意見主導則可另開會處理，若為獨立審查則需「各出一半」或「國發會進來時各出三分之一」  
- 黃佩蔚 - 提出兩項疑問，關注單位申請經費的實際操作可能性，表示需在進一步討論中釐清  

### 核心要點  
1. 立法院應規劃兩種情境應對方案：若國發會不參與，則由立法院與民間各自編列人力獨立推動；若國發會參與，則應調整人力比例為「各出三分之一」，以確保審查獨立性與平衡性。  
2. 報告性質的定義關鍵在於是否為「獨立審查」，若為民間主導則可另開會處理，避免重複或資源衝突；若為中立獨立審查，則需雙方共同投入資源，並明確分工與經費申請機制。

### 決策事項  
- 本段無明確決策內容  

### 行動項目  
- 立法院與民間單位應於下次會議前，分別擬定「國發會不參與」與「國發會參與」兩種情境下的執行方案與人力編列規劃  
- 黃佩蔚提出關於單位申請經費的疑問，需在後續討論中進一步釐清實際操作可行性  

### 總結  
會議聚焦於在國發會是否參與的前提下，釐清報告性質與人力分工，並規劃兩種情境下的應對策略，強調報告獨立性與資源配置的平衡。",2025-09-21 00:12:14,洪顧問指出立法院與民間需各自獨立編列人力撰寫報告，並規劃國發會參與與否的兩套方案；吳銘軒則說明若報告為獨立審查，應由雙方各出一半，若國發會加入則三方各出三分之一。,,,
17,"就是誰給我錢跟誰去拿錢，還有我們要花什麼錢，所以這三個是不是需要一個分別？因為到時候作帳核銷一定是一件事，可能要專款專用，還是說可以怎麼做？那個錢是誰申請的，那它就專門只for某一件事情，這樣也許在核銷或是預算方面看錢的時候會比較清楚。這是第一點。
第二點是我剛才也請教過老師，就是科技部也是一個拿錢的方向，因為我知道這裡面有一個識讀和教育的塊面，它其實就滿適合去走這個路線的。這部分也請參考進來。
主席（林委員昶佐）：這個議題不太適合聊太久，因為今天的重點還是「一」跟「三」，所以「二」和「四」的部分一個就是平常需要開的會議所衍生的費用，包括翻譯、手譯等等，這些應該是由工作小組寫出專表，然後規劃用什麼樣的方式去申請，不管是民主基金會或是其他相關的單位，因為這可能會有一半是立法院出，另外一半還是要民間出，民間的部分我想還是要提出一些適合的計畫去申請補助，或是如果大家覺得民間所有的單位看起來好像滿少的，一除下來每個單位才出多少錢就可以了，那也是可以的，反正就先把它列出來，儘量在9月底以前就把該申請的案子送出去。
至於IRM的部分，我目前不是那麼確定國發會的進度，這一、兩個禮拜我其實有約去跟唐鳳那裡再談一下",506,"## 會議記錄整理

### 出現人物  
- 林委員昶佐 - 主席 - 主導會議議程，明確指出重點應聚焦於「一」與「三」，並指示工作小組提出專項申請計畫，強調民間單位補助申請與預算規劃  
- 唐鳳 - 科技部相關人員 - 被提及為IRM進度的對接對象，林委員表示將於一兩週內與其進一步洽談  

### 核心要點  
1. 三項資金管理需明確區分：誰給錢、誰拿錢、花什麼錢，建議建立專款專用機制，以提升帳務核銷透明度與預算管理清晰度  
2. 科技部為潛在資金來源，特別是識讀與教育領域，應納入考量並納入計畫規劃中  

### 決策事項  
- 會議決定聚焦於「資金來源」、「資金使用」與「帳務核銷」三大議題，暫不深入討論「會議開支」與「IRM進度」等次要議題  

### 行動項目  
- 工作小組需在9月底前完成專項費用申請表，明確規劃翻譯、手譯等會議開支的申請方式，並提出民間單位補助申請計畫  
- 該計畫應涵蓋民主基金會或其他相關單位的補助申請，並評估民間單位出資比例，作為申請依據  

### 總結  
會議聚焦於資金流動與使用透明度，決議建立專款專用機制，並推動工作小組在9月底前完成相關補助申請計畫。",2025-09-21 00:12:33,黃佩蔚提醒資金應專款專用並釐清核銷流程，並建議科技部也是可能的經費來源；林昶佐總結，庶務費用由工作小組列專表，9月底前完成申請，IRM部分則待與唐鳳會談後再決定方向。,,,
18,"但是我也不太確定現在國發會的想法、政委的想法，以及行政院方面的相關進度如何，但是我會去跟他確認。
我想像的應該比較像是剛才阿端提到的，就是這可能還是一人出一半，因為如果它是一個完全獨立的報告，可能就是我們這邊不管官方或民間一人出一半。既然如此，是不是請君陽和阿端回去想一下，我們現在的原則基本上是一個全獨立的報告，所以我們一人出一半，國發會如果可以參與進來，變成各三分之一的話，可能可以怎麼處理？包括剛才其實阿端也有提到，一個單位只能申請同一個政府部門或基金會，譬如民主基金會的補助，而且一年一次而已，如果有這種限制的話，可能這些都要一起納入考量。
吳銘軒：我只是想確定一下這是不是大家的共識，就是我們期待的是一個獨立的報告，還是我們期待的是一個從民間意見出發的報告？其實兩個都可以，並沒有不行，但是我覺得我們應該發表一下意見，看大家比較favor哪一個。
趙恭岳：因為大家在討論IRM的性質，其實從OGP來看，IRM的性質和國家的開放政策本來就是平行獨立的，不一定要跟它in line，所以我覺得第一個，性質上它應該回到前面談的，它是一個比較偏向獨立調查的報告。如果以這個部分來看，在經費的分攤上我覺得以目前在委員會這邊的部分一半、一半，",520,"## 會議記錄整理

### 出現人物  
- 阿端 - 提出「一人出一半」的報告分工模式，並提及單位申請補助的限制（如民主基金會補助一年一次）  
- 吳銘軒 - 提問是否達成共識，澄清報告性質應為「獨立報告」或「從民間意見出發」，強調需公開徵詢意見  
- 趙恭岳 - 認為IRM性質應獨立於國家開放政策，主張其為「偏向獨立調查的報告」，並建議經費分攤為「委員會內一半、一半」  

### 核心要點  
1. 報告性質應為「獨立調查報告」而非依附於政府政策，強調其獨立性與平行地位，以符合OGP對IRM的定義  
2. 經費分攤建議採「各半」模式（國發會與行政院各半），若國發會參與則可調整為「各三分之一」，並需納入單位申請補助的限制條件  

### 決策事項  
- 無明確決策內容（僅提出建議與討論方向）  

### 行動項目  
- 請君陽與阿端回覆：針對「全獨立報告」原則下，如何調整經費分攤與參與機制（如國發會參與時的分工）  
- 請吳銘軒確認：團隊是否達成對報告性質（獨立 vs 民間意見出發）的共識，並公開徵詢意見  

### 總結  
會議聚焦於報告應具備獨立性與經費分攤原則，並建議由君陽與阿端進一步釐清合作模式與可行性。",2025-09-21 00:12:53,林昶佐建議IRM報告原則為獨立，由官方與民間各出一半，若國發會加入則三方分攤；吳銘軒提問是否共識為獨立報告，趙恭岳則支持獨立調查定位並維持一半一半分擔。,,,
19,"可能相對來講會比國發會的經費再涉入更恰當一些。以上是從它的性質上面來看，因為我覺得國發會本身是開放政府或開放資料的相關主責單位，它有自己的國家政策，涉入經費分攤可能會有一些疑義。以上跟大家分享。
吳銘軒：我想釐清一下，之所以覺得如果國發會要的話就一起來的原因是因為到時候只會有一份「開放政府/開放國會」的報告，也就是同一份，但是如果我們把它分開來的話，當然就是兩件無關的事情，所以這是不是請Freddy之後再去多討論？但是如果大家今天沒有反對，那我們就走獨立報告這條路，剩下的三分之一就是民間這邊看我們用什麼方式來籌嘛。好不好？就是看看60萬元的三分之一……
彭啟明：我會覺得國發會是政府，然後立法院、民間，但是如果按照這個邏輯，民間那個三分之一就不要去找民主基金會，這樣會被講話，所以就大家想辦法募，但是如果可以的話，預算還是要先弄出來。
吳銘軒：針對報告的部分可不可以請君陽先找一下，就是可能可以協助的研究單位或是做這個研究的學者或是什麼的，然後先請他們估一下如果是6個月的計畫，大概是多少錢，之後我們再來看這個分攤的部分。但分攤的部分我想應該不會是平分的，就是要看每個團體……",491,"## 會議記錄整理

### 出現人物  
- 吳銘軒 - 提案主導者 / 建議推動獨立報告 - 主張將「開放政府/開放國會」報告分開處理，避免國發會涉入經費分攤問題，並建議由君陽協助尋找研究單位估計6個月計畫所需經費，同時提出分攤應非平分  
- 彭啟明 - 負責預算與資源協調 - 強調民間部分應主動籌募經費，並認為若僅由民主基金會承擔三分之一，可能引發爭議，呼籲預算應先釐清  
- Freddy - 建議進一步討論 - 被邀請就報告分離問題進行深入討論，以釐清是否應走獨立報告路線  

### 核心要點  
1. 建議採行「獨立報告」路線，將「開放政府」與「開放國會」分開製作，避免國發會因涉入經費分攤而產生政策主責疑義  
2. 預算規劃應先由民間團體自主籌募，並由研究單位（如君陽協助）估計6個月計畫所需經費，分攤方式不採平分，將依各團體性質與貢獻調整  

### 決策事項  
- 會議決議採行「獨立報告」路線，將開放政府與開放國會報告分開進行  

### 行動項目  
- 吳銘軒負責請君陽協助尋找相關研究單位或學者，估計6個月計畫所需經費  
- 民間團體需主動規劃籌募經費，並釐清預算分攤方式（非平分）  

### 總結  
會議決議推動「開放政府」與「開放國會」報告獨立進行，並由民間團體自主籌募經費，同時委請研究單位估計計畫成本與分攤機制。",2025-09-21 00:13:16,趙恭岳認為IRM應獨立，國發會涉入恐生疑；吳銘軒建議維持獨立報告，由民間籌三分之一經費；彭啟明提醒民間部分不宜申請民主基金會，應另籌款並先估計半年計畫費用。,,,
20,"侯宜秀：我想確認一下，所以現在君陽要規劃的是一個開放政府開放國會，他要找人寫的是這個嗎？
主席（林委員昶佐）：我覺得先不用政府，國會而已。
侯宜秀：只有國會嘛！那為什麼預算會混在一起？
主席（林委員昶佐）：應該沒有所謂三分之一的問題，應該是二分之一、二分之一。現在我們應該default就是開放國會，然後就是二分之一、二分之一，即國會跟民間二分之一，然後找一個獨立的研究員來做這個調查報告，看看是不是在兩個禮拜後的會議之前，由君陽這邊協助提供一個簡單的案子，如果會有任何的改變，就是除非我去找唐鳳政委討論以後，國發會也希望開放政府跟開放國會整體的報告變成同一個事情，如果有發生這樣事情的話，才會有剛剛講的，可能有這樣子的改變，要不然的話default就不是這樣，就是二分之一、二分之一。
主席（洪顧問慈庸）：那我做最後的確認，就是立法院不用自己產生一個嘛！對不對？
吳銘軒：要！
主席（林委員昶佐）：要！
主席（洪顧問慈庸）：還要喔！這樣立法院的工作有一點重複了。
耿璐：因為根據OGP的法規，立法院是實際執行的人，所以你們要自己寫一份工作報告，這比較像是工作評估報告，比如說無論是架設任何系統或做任何程序上的改變，其實都不可能是我們在這裡做",521,"## 會議記錄整理

### 出現人物  
- 侯宜秀 - 提問者 - 質疑開放國會與預算會混雜的邏輯，確認君陽團隊規劃內容  
- 林委員昶佐（主席） - 主導議程者 - 明確提出「開放國會」為預設方向，強調「二分之一、二分之一」原則，建議由獨立研究員製作調查報告，並說明未來可能調整條件  
- 洪顧問慈庸（主席） - 補充確認者 - 議論立法院是否需自行製作報告，提出重複工作的疑慮  
- 吳銘軒 - 認同者 - 明確表示立法院應自行產生報告  
- 耿璐 - 提出專業依據者 - 引用OGP法規，強調立法院為實際執行單位，應製作工作評估報告，而非僅由民間或政府主導  

### 核心要點  
1. 預設方案為「開放國會」，並採「二分之一、二分之一」模式（國會與民間各半），由獨立研究員於兩週內完成調查報告，作為會議前參考。  
2. 立法院應自行製作工作報告（類似工作評估報告），因依據OGP法規，其為實際執行單位，不應由民間或政府單方面取代或重複製作。

### 決策事項  
- 確定「開放國會」為預設方向，並採「二分之一、二分之一」的參與比例。  
- 立法院應自行製作工作報告，作為對系統架設與程序變更的評估依據。

### 行動項目  
- 君陽團隊協助提供一個簡單案例，供會議前參考（兩週內完成）。  
- 設立獨立研究員，於兩週內完成調查報告，評估是否需調整為「開放政府與開放國會」整體報告。

### 總結  
會議確認以「開放國會」為主軸，並強調立法院應自主製作工作評估報告，避免重複與權責混淆。",2025-09-21 00:13:42,討論確認IRM報告以開放國會為主，由國會與民間各出一半並聘獨立研究員；同時立法院仍須撰寫自身工作報告。,"「IRM報告確立獨立性，國會與民間各半分擔」

「會議決議：院方自撰工作報告，另聘獨立研究員」",,
21,"所以就是立法院在做。所以你們必須自己寫自己的報告，然後IRM是獨立的，這就是OGP裡面一個必然的狀況。
田君陽：我建議一下，因為立法院法制局研究員本身除了一般對於行政院的法制做研究以外，我記得還有一些專題研究，所以看看能不能做一些妥適的安排，就是請他也一起參與或是如何，然後把他原本既有的工作予以納入，所以就是由法制局研究員本身去承接一部分立法院自己這邊的工作評估報告，所以我想問一下這樣做的可行性，因為其實它是有專題報告的空間，如果有一些適合的安排，我想這是一個很好的研究方向，而且他們自己本身在寫專題研究的時候，應該也會希望有一些合適的體材，然後是大家關心的，以上建議。
耿璐：關於立法院自己寫的工作報告，好像就沒有很嚴格的規範，說要寫成什麼樣的規模，所以我覺得你們一開始寫的時候其實也不用寫得很大或是很專精，或許就是先以工作紀錄或實際上發生的為主，我覺得這個彈性就還滿大的，只是實際執行的人還是要有一個東西出來，畢竟這就有點像成果報告、結案報告或工作報告。
主席（林委員昶佐）：一個就是立法院自己本來可能就會寫的工作報告、紀錄或是成果報告那樣的東西，然後另外一個是我們獨立聘請外面的調查員來做的",500,"## 會議記錄整理

### 出現人物  
- 田君陽 - 立法院法制局研究員 - 建議將法制局研究員原有專題研究工作納入立法院工作評估報告的撰寫，提出由其承接部分報告內容，強調其既有研究空間與現實關切題材的契合性  
- 耿璐 - 未明確職稱 - 說明立法院自行撰寫工作報告無嚴格規模規範，建議初期以實際發生的工作紀錄或成果為主，強調彈性與實務導向  
- 林昶佐（主席） - 立法院主席 - 明確指出立法院可自行撰寫工作報告、紀錄或成果報告，並補充另有一種模式為獨立聘請外部調查員來執行  

### 核心要點  
1. 立法院可自行撰寫工作報告，內容可依實際發生情形以工作紀錄或成果報告為主，具高度彈性，無嚴格規模要求 — 耿璐提出，強調實務導向與可行性。  
2. 建議整合法制局研究員既有專題研究能量，由其參與或承接部分工作評估報告的撰寫，提升報告品質與研究關聯性 — 田君陽提出具體可行建議，強調資源整合與研究契合。  

### 決策事項  
- 本段無明確決策內容  

### 行動項目  
- 田君陽建議進一步評估法制局研究員參與工作評估報告撰寫的可行性與具體安排  
- 立法院內部可先以工作紀錄或實際成果為基礎，開始撰寫初步報告，作為實務試行  

### 總結  
會議確認立法院可自主撰寫彈性且實務導向的工作報告，並建議整合內部研究資源以提升報告品質與相關性。",2025-09-21 00:14:04,田君陽建議由立法院法制局研究員承接部分工作評估報告；耿璐認為院方報告可彈性處理，以工作紀錄為主；林昶佐總結分為院方自寫報告與獨立聘請調查員兩部分。,,,
