序號,姓名,職位/角色,主要貢獻,出現次數,完整描述
19,游院長,民主基金會董事長,作為民主基金會的領導者，其個人身份與民主基金會的宗旨相符，被提及為可能支持OSM計畫的關鍵人物，其支持將有助於國際上對IRM的評價，避免負面印象。,3,游院長 - 民主基金會董事長 - 作為民主基金會的領導者，其個人身份與民主基金會的宗旨相符，被提及為可能支持OSM計畫的關鍵人物，其支持將有助於國際上對IRM的評價，避免負面印象。 (AI識別出現 3 次)
20,林哲瑋,參與討論的議員,提出時代力量未來由「邑軒」參與，並肯定「邑軒」在g0v Summit演講中關於司改國是會議的表現，建議其可列入3的位置,2,林哲瑋 - 參與討論的議員 - 提出時代力量未來由「邑軒」參與，並肯定「邑軒」在g0v Summit演講中關於司改國是會議的表現，建議其可列入3的位置 (AI識別出現 2 次)
21,藝術創作者工作坊,民間團體代表,建議從NGO中選出最常使用立法院網站、具備新媒體能力的藝術創作者參與，以提升公民參與的多元性與創新性。,2,藝術創作者工作坊 - 民間團體代表 - 建議從NGO中選出最常使用立法院網站、具備新媒體能力的藝術創作者參與，以提升公民參與的多元性與創新性。 (AI識別出現 2 次)
22,雨蒼,報告人 / 問卷回應負責人,提出vTaiwan資料收集中存在的問題，包括資料收齊時間（31日）尚未完全截止、留言內容過於片段或發散、缺乏展開，並建議應先討論規範再進行分類，以提升收攬品質與公眾信賴，強調收攬過程涉及權力使用，需謹慎處理議題篩選。,2,雨蒼 - 報告人 / 問卷回應負責人 - 提出vTaiwan資料收集中存在的問題，包括資料收齊時間（31日）尚未完全截止、留言內容過於片段或發散、缺乏展開，並建議應先討論規範再進行分類，以提升收攬品質與公眾信賴，強調收攬過程涉及權力使用，需謹慎處理議題篩選。 (AI識別出現 2 次)
23,孫中山,會議場地象徵性人物,被提及為「坐在孫中山前面」，屬場地位置描述，並非實際參與討論的人物，僅作為壓力提醒，無實際職位或貢獻。,1,孫中山 - 會議場地象徵性人物 - 被提及為「坐在孫中山前面」，屬場地位置描述，並非實際參與討論的人物，僅作為壓力提醒，無實際職位或貢獻。
24,vTaiwan 使用者 / 公眾參與者,無明確職稱,在現場與 vTaiwan 平台中反映「法案訂閱功能」的問題，顯示公眾對資訊訂閱與法案追蹤的實際需求，參與意見交流與問題提報。,1,vTaiwan 使用者 / 公眾參與者 - 無明確職稱 - 在現場與 vTaiwan 平台中反映「法案訂閱功能」的問題，顯示公眾對資訊訂閱與法案追蹤的實際需求，參與意見交流與問題提報。
25,唐鳳,科技部相關人員 / IRM項目對接人,被國發會代表提及，為討論IRM進度時所約談對象，顯示其在科技部識讀與教育領域具備專業角色，可能參與相關計畫推動。,1,唐鳳 - 科技部相關人員 / IRM項目對接人 - 被國發會代表提及，為討論IRM進度時所約談對象，顯示其在科技部識讀與教育領域具備專業角色，可能參與相關計畫推動。
26,臺中好民,民間議會監督團體代表,建議將該團體納入，作為推動議會透明與公民參與的實踐者，具備實際監督經驗與新媒體運用能力。,1,臺中好民 - 民間議會監督團體代表 - 建議將該團體納入，作為推動議會透明與公民參與的實踐者，具備實際監督經驗與新媒體運用能力。
27,王理事長,中華民國兒童權益促進會理事長,提出建議，希望引入兒童權益相關專家參與議會參與機制，強調多元代表性，特別提到兒童權益的視角應納入議事過程。,1,王理事長 - 中華民國兒童權益促進會理事長 - 提出建議，希望引入兒童權益相關專家參與議會參與機制，強調多元代表性，特別提到兒童權益的視角應納入議事過程。
28,趙恭岳,會議參與者 / 建議提出者,依據OGP觀點，強調IRM性質應為獨立調查，不需與國家開放政策同步；並主張在經費分攤上，委員會內部分為「一半、一半」，支持獨立報告的性質與結構。,1,趙恭岳 - 會議參與者 / 建議提出者 - 依據OGP觀點，強調IRM性質應為獨立調查，不需與國家開放政策同步；並主張在經費分攤上，委員會內部分為「一半、一半」，支持獨立報告的性質與結構。
29,普通勞工代表,公民參與代表角色,建議納入,1,普通勞工代表 - 公民參與代表角色 - 建議納入
30,吳銘軒,具體建議者,建議將「數位化」與「資訊系統電子化」合併為同一大項，指出目前對「數位化」範疇的界定不清，建議明確區分資訊公開程度與數位化程度，以避免分組混亂,1,吳銘軒 - 具體建議者 - 建議將「數位化」與「資訊系統電子化」合併為同一大項，指出目前對「數位化」範疇的界定不清，建議明確區分資訊公開程度與數位化程度，以避免分組混亂
31,耿璐,小組成員 / 内部討論參與者,提出對分組後立法院代表配置的疑問，認為每組應有立法院代表，並呼籲在小組內部先討論重要議題，以建立方向基礎。,1,耿璐 - 小組成員 / 内部討論參與者 - 提出對分組後立法院代表配置的疑問，認為每組應有立法院代表，並呼籲在小組內部先討論重要議題，以建立方向基礎。
32,吳銘軒,小組成員 / 分組建議者,提出彭博士應加入open data組，並主導分組討論，表達對組別人數與分配的關切，推動會議進程。,1,吳銘軒 - 小組成員 / 分組建議者 - 提出彭博士應加入open data組，並主導分組討論，表達對組別人數與分配的關切，推動會議進程。
33,林邑軒,時代力量代表,建議分組，並主動提出讓會議成員分組，影響會議的分組起點與流程設計。,1,林邑軒 - 時代力量代表 - 建議分組，並主動提出讓會議成員分組，影響會議的分組起點與流程設計。
34,賴香伶委員,民眾黨代表,代表民眾黨出席，由其代表呂儀恬發言，提出「選便於人民參與的國會」作為優先議題。,1,賴香伶委員 - 民眾黨代表 - 代表民眾黨出席，由其代表呂儀恬發言，提出「選便於人民參與的國會」作為優先議題。
35,吕儀恬,民眾黨代表,發言提出「選便於人民參與的國會」作為其組別的首要議題。,1,吕儀恬 - 民眾黨代表 - 發言提出「選便於人民參與的國會」作為其組別的首要議題。
36,�,,,1,�
37,撒丰安,臺灣原住民政策協會成員,提出關於開放國會原則價值的觀點，並說明其在分組順序中的位置（原應為1，但在Excel中為2），反映對政策參與與編號安排的關注,1,撒丰安 - 臺灣原住民政策協會成員 - 提出關於開放國會原則價值的觀點，並說明其在分組順序中的位置（原應為1，但在Excel中為2），反映對政策參與與編號安排的關注
38,吳銘軒,負責排定分組順序的成員,主導提出將各黨團按1、3等順序排列，並參與討論主題編號的安排,1,吳銘軒 - 負責排定分組順序的成員 - 主導提出將各黨團按1、3等順序排列，並參與討論主題編號的安排
39,耿璐,會議參與者,提出關於直播連結是否對外公開的疑問，表達對現行資訊透明度的困惑,1,耿璐 - 會議參與者 - 提出關於直播連結是否對外公開的疑問，表達對現行資訊透明度的困惑
40,吳銘軒,建議者,提出關於Slack頻道設置的建議，認為應將MSF頻道設為公開而非秘密頻道，強調開放溝通更符合實際需求，避免過度干擾大眾頻道。,1,吳銘軒 - 建議者 - 提出關於Slack頻道設置的建議，認為應將MSF頻道設為公開而非秘密頻道，強調開放溝通更符合實際需求，避免過度干擾大眾頻道。
41,侯宜秀,建議者,認同公開子議題頻道的必要性，主張開放讓成員能互相交流與資訊共享（sink），提升溝通效率。,1,侯宜秀 - 建議者 - 認同公開子議題頻道的必要性，主張開放讓成員能互相交流與資訊共享（sink），提升溝通效率。
